loan_amnt,int_rate,annual_inc,dti,fico_score,delinq_2yrs,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,mort_acc,loan_to_income,credit_utilization,debt_burden_score,credit_history_depth,account_mix_score,rate_premium,simple_risk_score,has_delinquencies,high_delinquency,has_bankruptcy,high_inquiries,verified,owns_home,long_term,defaulted,grade_B,grade_C,grade_D,grade_E,grade_F,grade_G,purpose_credit_card,purpose_debt_consolidation,purpose_home_improvement,purpose_house,purpose_major_purchase,purpose_medical,purpose_moving,purpose_other,purpose_renewable_energy,purpose_small_business,purpose_vacation,home_ownership_MORTGAGE,home_ownership_OWN,home_ownership_RENT
10000.0,6.24,65000.0,17.17,752.0,0,0,9,0,8951.0,19.6,17,3,0.154,0.196,0.18142000000000003,2.8903717578961645,2.596478425445105,-0.6499999999999995,0,0,0,0,0,0,1,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
6400.0,8.49,115000.0,5.1,677.0,0,0,6,0,10168.0,92.4,25,4,0.056,0.924,0.40020000000000006,3.258096538021482,2.6020033435383976,-1.2699999999999996,2,0,0,0,0,0,1,0,0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
10000.0,6.89,100000.0,18.13,707.0,2,1,12,0,11639.0,47.1,38,0,0.1,0.47100000000000003,0.29718,3.6635616461296463,3.1142555017955917,0.0,2,1,1,0,0,0,0,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
14000.0,7.26,115000.0,30.37,692.0,0,0,21,0,32343.0,44.1,45,3,0.122,0.441,0.35862000000000005,3.828641396489095,3.4598419249237056,0.3700000000000001,2,0,0,0,0,1,1,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
15000.0,11.22,55000.0,12.85,672.0,0,0,7,0,13957.0,58.6,35,0,0.273,0.586,0.3115,3.58351893845611,2.8314802400679726,1.4600000000000009,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
6475.0,19.89,30000.0,32.12,677.0,0,2,12,1,6493.0,29.0,23,0,0.216,0.29,0.30872,3.1780538303479458,2.8715015939047412,0.9000000000000021,6,0,0,1,1,0,0,0,0,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
3425.0,18.49,75000.0,16.85,682.0,0,1,5,0,372.0,74.4,13,0,0.046,0.7440000000000001,0.39870000000000005,2.6390573296152584,2.2154083994216567,-0.5,0,0,0,0,0,0,1,0,0,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
24000.0,13.67,125000.0,16.13,707.0,0,0,12,0,37602.0,66.8,40,5,0.192,0.6679999999999999,0.36397999999999997,3.713572066704308,3.1392607120829226,0.4900000000000002,0,0,0,0,0,0,1,1,0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
19800.0,12.88,78924.0,13.12,767.0,0,0,12,0,12736.0,24.7,27,1,0.251,0.247,0.17751999999999998,3.332204510175204,2.9485769338183703,-0.29999999999999893,0,0,0,0,0,0,1,0,0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
6000.0,11.22,67000.0,27.39,717.0,0,0,14,0,4910.0,27.3,36,2,0.09,0.273,0.27354,3.6109179126442243,3.159484056873217,1.4600000000000009,0,0,0,0,0,0,1,0,0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
7000.0,15.41,25000.0,9.22,662.0,2,0,18,0,6913.0,58.1,28,0,0.28,0.581,0.28772,3.367295829986474,3.1558674045764574,-1.5799999999999983,2,1,1,0,0,0,0,0,1,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
30000.0,13.67,100000.0,13.25,737.0,0,0,24,0,18941.0,38.1,32,0,0.3,0.381,0.2319,3.4965075614664802,3.3576916931673404,0.4900000000000002,0,0,0,0,0,1,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
25000.0,7.49,160000.0,7.98,692.0,0,0,10,9,9857.0,18.9,16,0,0.156,0.18899999999999997,0.12348,2.833213344056216,2.6155543084272934,0.6000000000000005,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
16000.0,6.24,160000.0,8.36,707.0,1,0,7,0,43590.0,93.1,21,4,0.1,0.9309999999999999,0.42256,3.091042453358316,2.585241997519076,-0.6499999999999995,4,1,0,0,0,0,1,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
12000.0,9.8,57000.0,15.73,707.0,0,1,11,0,14895.0,39.9,22,2,0.211,0.39899999999999997,0.25398,3.1354942159291497,2.810200432858575,0.040000000000000924,0,0,0,0,0,0,1,0,0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
